Bus Route Number,Source Location,Destination Location,Type of Bus,Time
36D,Tiruvannamalai,Nagapattinam,Non-AC,11:53
61B,Ramanathapuram,Chennai,Non-AC,19:01
3A,Kanchipuram,Tiruvannamalai,Government,12:18
35A,Coimbatore,Ramanathapuram,Express,05:56
84B,Tiruchirappalli,Hosur,Non-AC,12:44
64C,Thanjavur,Madurai,Government,18:15
95D,Erode,Sivakasi,Non-AC,16:16
21B,Pudukkottai,Krishnagiri,AC,07:55
28B,Tiruvannamalai,Namakkal,Private,10:37
33D,Nagercoil,Hosur,Government,09:41
1C,Tirunelveli,Dharmapuri,Express,23:28
85D,Vellore,Madurai,Non-AC,12:03
71D,Namakkal,Chennai,AC,05:21
80D,Krishnagiri,Salem,Private,19:21
26B,Ariyalur,Tirunelveli,Express,18:58
31D,Coimbatore,Tiruppur,AC,10:03
87A,Dindigul,Tirunelveli,Non-AC,21:53
82D,Kanchipuram,Nagercoil,Government,05:31
28B,Ariyalur,Cuddalore,AC,08:15
87D,Ariyalur,Tirunelveli,Government,01:24
92C,Perambalur,Pudukkottai,Private,05:32
70B,Nagapattinam,Erode,Non-AC,20:10
97B,Namakkal,Ariyalur,Private,15:46
18C,Namakkal,Ramanathapuram,Private,11:12
78C,Karur,Dharmapuri,Government,03:50
23C,Krishnagiri,Nagapattinam,AC,00:55
6C,Hosur,Dindigul,Private,01:41
12D,Namakkal,Tiruppur,Government,04:07
98B,Nagercoil,Virudhunagar,Private,14:21
66D,Karur,Erode,Government,03:19
5C,Namakkal,Krishnagiri,Non-AC,08:41
83D,Thanjavur,Sivakasi,Private,05:23
2B,Kanchipuram,Tiruvannamalai,Private,22:53
60A,Namakkal,Dharmapuri,AC,16:21
50A,Nagapattinam,Tirunelveli,Non-AC,13:24
51A,Pudukkottai,Nagapattinam,Private,12:45
52B,Salem,Pudukkottai,AC,06:00
69A,Karur,Cuddalore,Private,12:04
56A,Ariyalur,Salem,Private,13:12
95A,Madurai,Tiruvannamalai,AC,17:59
20C,Sivakasi,Coimbatore,Private,21:42
71A,Hosur,Dindigul,Government,00:18
52C,Nagercoil,Perambalur,Non-AC,05:49
5D,Thanjavur,Ramanathapuram,Express,10:42
2A,Virudhunagar,Dharmapuri,Government,08:10
63A,Chennai,Tiruppur,Government,12:59
61A,Krishnagiri,Salem,Private,02:24
93B,Krishnagiri,Pudukkottai,Express,19:07
9B,Thanjavur,Cuddalore,AC,10:09
8B,Ariyalur,Namakkal,AC,10:29
35B,Perambalur,Tirunelveli,Private,18:10
38C,Kanchipuram,Pudukkottai,AC,03:47
19A,Virudhunagar,Cuddalore,Private,19:25
63B,Hosur,Tiruppur,Government,04:13
91A,Hosur,Kanchipuram,Private,23:34
50C,Nagapattinam,Virudhunagar,Private,02:15
36A,Dindigul,Sivakasi,AC,18:28
93C,Perambalur,Salem,Private,15:07
33A,Hosur,Namakkal,AC,06:37
84D,Chennai,Thanjavur,Private,12:44
56A,Madurai,Chennai,Express,22:51
28D,Cuddalore,Thoothukudi,Government,11:10
57B,Nagercoil,Perambalur,Non-AC,08:31
70A,Thanjavur,Cuddalore,AC,13:03
20B,Coimbatore,Ramanathapuram,Express,20:21
95C,Tiruchirappalli,Krishnagiri,Non-AC,00:21
11B,Tiruchirappalli,Cuddalore,Express,15:26
29A,Thanjavur,Karur,Non-AC,22:12
92D,Perambalur,Tiruvannamalai,Express,15:02
5B,Thanjavur,Cuddalore,Non-AC,14:35
22D,Madurai,Dindigul,Private,02:40
47A,Cuddalore,Madurai,Express,15:33
87C,Krishnagiri,Dindigul,Private,01:08
78A,Ramanathapuram,Cuddalore,Express,16:53
94D,Coimbatore,Dharmapuri,Private,05:11
13A,Thanjavur,Kanchipuram,AC,09:33
21A,Namakkal,Vellore,Private,18:43
45D,Kanchipuram,Pudukkottai,AC,06:02
91B,Tiruchirappalli,Thanjavur,Government,20:54
47B,Coimbatore,Kanchipuram,AC,19:38
63D,Thoothukudi,Ramanathapuram,Private,23:06
57C,Tiruppur,Madurai,Government,05:33
78B,Dharmapuri,Ariyalur,Government,01:58
42A,Tirunelveli,Ariyalur,Government,03:51
85C,Tiruchirappalli,Dindigul,Express,04:45
4A,Tiruvallur,Ramanathapuram,Non-AC,17:31
75B,Ariyalur,Namakkal,Express,04:59
33C,Tiruvannamalai,Tiruppur,AC,21:20
16D,Coimbatore,Nagercoil,Government,11:26
59D,Tiruvannamalai,Dharmapuri,Government,03:02
63D,Tiruppur,Dindigul,AC,12:53
78A,Pudukkottai,Cuddalore,Non-AC,03:12
49C,Salem,Chennai,AC,11:26
1C,Vellore,Kanchipuram,Private,18:32
65C,Nagercoil,Vellore,AC,03:19
3A,Kanchipuram,Nagercoil,Private,19:36
67B,Ariyalur,Tirunelveli,Express,08:07
94C,Tiruvannamalai,Erode,Non-AC,09:45
85B,Tiruppur,Kanchipuram,Private,00:13
7D,Coimbatore,Kanchipuram,Government,15:55
93A,Tiruchirappalli,Tiruppur,Express,22:19
51A,Tiruppur,Cuddalore,Express,09:47
46C,Salem,Nagapattinam,Express,08:46
89B,Namakkal,Tiruchirappalli,Non-AC,12:12
81A,Tiruppur,Ariyalur,Private,23:49
76D,Ariyalur,Thanjavur,Express,02:11
20A,Madurai,Salem,Non-AC,00:34
24C,Vellore,Madurai,AC,14:31
74C,Chennai,Nagercoil,Government,06:55
54C,Salem,Erode,Express,11:02
88D,Perambalur,Erode,Private,01:23
2C,Vellore,Thanjavur,Private,13:24
32B,Tirunelveli,Ramanathapuram,AC,08:12
94D,Tiruchirappalli,Namakkal,Non-AC,20:18
38C,Dindigul,Tiruchirappalli,Government,12:18
98D,Namakkal,Nagercoil,Non-AC,15:01
9D,Tiruchirappalli,Coimbatore,Private,05:33
66C,Thanjavur,Pudukkottai,Government,04:36
58D,Tiruvannamalai,Krishnagiri,Express,22:23
80A,Perambalur,Tirunelveli,AC,14:10
51C,Coimbatore,Chennai,Private,09:33
44A,Karur,Tiruvannamalai,AC,06:25
55D,Coimbatore,Virudhunagar,AC,10:49
39A,Pudukkottai,Virudhunagar,Non-AC,14:23
55A,Pudukkottai,Chennai,Express,02:54
25B,Karur,Krishnagiri,Government,17:57
26A,Perambalur,Karur,Non-AC,08:46
74C,Virudhunagar,Perambalur,Express,03:36
23A,Thanjavur,Ramanathapuram,Express,04:12
6A,Dindigul,Krishnagiri,AC,03:40
2B,Thanjavur,Sivakasi,Express,20:14
69B,Thoothukudi,Vellore,Non-AC,08:26
78B,Tiruppur,Salem,Government,07:40
58C,Pudukkottai,Namakkal,Government,13:40
89D,Thoothukudi,Perambalur,Non-AC,16:51
18B,Virudhunagar,Vellore,AC,21:59
76A,Nagercoil,Nagapattinam,Government,10:01
53D,Tirunelveli,Tiruppur,AC,02:24
48D,Salem,Nagercoil,Government,13:13
1D,Pudukkottai,Thanjavur,Express,12:59
65A,Nagapattinam,Dindigul,Private,17:45
13D,Chennai,Salem,Non-AC,23:12
15B,Tiruvannamalai,Cuddalore,Private,22:08
88A,Tiruchirappalli,Nagercoil,Government,17:05
35D,Nagercoil,Erode,AC,10:20
6B,Chennai,Ariyalur,Non-AC,00:25
40B,Dharmapuri,Tiruvannamalai,Private,03:25
74C,Dindigul,Tiruvallur,Non-AC,17:18
63B,Krishnagiri,Tiruppur,Private,05:03
37D,Thoothukudi,Sivakasi,Non-AC,16:46
32B,Tiruvannamalai,Salem,Government,21:23
38A,Kanchipuram,Pudukkottai,Non-AC,08:32
12D,Perambalur,Tiruvannamalai,Government,16:46
86C,Karur,Krishnagiri,Express,08:41
97B,Perambalur,Erode,Private,18:55
79B,Tiruppur,Karur,AC,19:37
24B,Dindigul,Tiruvannamalai,Non-AC,04:38
46C,Tirunelveli,Salem,Government,20:43
73C,Thoothukudi,Salem,Express,07:32
21B,Nagercoil,Ariyalur,AC,16:39
45D,Perambalur,Salem,Private,21:57
91B,Virudhunagar,Tiruchirappalli,Government,04:49
46B,Krishnagiri,Kanchipuram,AC,02:25
7A,Sivakasi,Tiruppur,Non-AC,20:49
32A,Tiruppur,Thanjavur,Express,06:02
29A,Chennai,Kanchipuram,Private,03:50
22B,Namakkal,Coimbatore,Express,07:24
91A,Namakkal,Nagercoil,AC,16:26
69A,Tiruvallur,Karur,Express,22:42
87B,Namakkal,Krishnagiri,Non-AC,11:25
20C,Krishnagiri,Sivakasi,Non-AC,16:55
50D,Virudhunagar,Erode,Express,08:58
41D,Chennai,Namakkal,Government,10:14
87A,Coimbatore,Thanjavur,Private,12:16
70D,Perambalur,Dharmapuri,Express,03:20
14D,Nagapattinam,Tiruppur,Private,23:28
31A,Nagercoil,Namakkal,Non-AC,07:57
1A,Dharmapuri,Kanchipuram,Express,08:59
53D,Dindigul,Salem,AC,10:11
60A,Karur,Pudukkottai,Government,10:24
29B,Perambalur,Erode,Government,09:20
51B,Namakkal,Krishnagiri,Express,22:44
12B,Krishnagiri,Nagapattinam,Express,14:43
10B,Coimbatore,Cuddalore,Private,06:51
93A,Chennai,Krishnagiri,Non-AC,14:57
32A,Coimbatore,Krishnagiri,Express,19:39
21C,Dindigul,Pudukkottai,Government,06:47
60A,Madurai,Nagapattinam,Private,03:19
42A,Thanjavur,Chennai,Non-AC,11:27
79A,Namakkal,Karur,AC,01:01
17D,Krishnagiri,Hosur,Government,12:25
76A,Erode,Karur,Private,09:50
69D,Kanchipuram,Thanjavur,Express,15:02
96C,Karur,Dindigul,Government,10:06
40A,Sivakasi,Salem,Express,19:14
48B,Tiruchirappalli,Sivakasi,AC,02:00
93A,Salem,Madurai,Express,20:30
72A,Namakkal,Nagercoil,Private,13:45
6C,Erode,Karur,Non-AC,09:24
97A,Salem,Ariyalur,Private,14:17
32D,Dindigul,Tiruppur,Private,19:36
37C,Tirunelveli,Ramanathapuram,Government,21:01
28D,Krishnagiri,Nagercoil,AC,18:59
35B,Thoothukudi,Kanchipuram,AC,15:15
74B,Pudukkottai,Tiruvallur,Express,10:20
97B,Hosur,Cuddalore,Private,05:54
88A,Nagapattinam,Vellore,Express,01:07
54B,Hosur,Tirunelveli,Government,19:00
81A,Salem,Karur,Private,16:16
35D,Thoothukudi,Ariyalur,Private,07:46
19B,Pudukkottai,Tiruchirappalli,Non-AC,04:57
89C,Coimbatore,Krishnagiri,AC,07:36
39D,Thoothukudi,Vellore,AC,04:52
87A,Nagercoil,Perambalur,Government,16:42
35C,Thanjavur,Pudukkottai,Express,09:09
98D,Kanchipuram,Tiruppur,Express,17:35
47D,Tiruvannamalai,Thanjavur,Non-AC,17:54
99A,Ramanathapuram,Dharmapuri,Government,16:55
95B,Dindigul,Perambalur,AC,04:40
93A,Chennai,Ariyalur,Express,19:37
44C,Virudhunagar,Cuddalore,Government,11:12
97A,Tiruchirappalli,Hosur,Government,02:37
51A,Nagapattinam,Cuddalore,AC,20:33
95C,Virudhunagar,Karur,Private,09:07
5C,Pudukkottai,Krishnagiri,AC,07:05
27B,Dharmapuri,Dindigul,AC,15:04
72D,Tiruchirappalli,Tirunelveli,Government,09:44
85A,Chennai,Pudukkottai,AC,04:42
59B,Dindigul,Ariyalur,Private,05:31
57D,Thanjavur,Perambalur,Express,08:57
7A,Nagercoil,Chennai,AC,22:22
66C,Krishnagiri,Virudhunagar,Express,17:20
95B,Salem,Cuddalore,Express,05:18
91A,Virudhunagar,Tirunelveli,Government,05:53
64C,Madurai,Tiruvannamalai,Non-AC,01:19
87B,Krishnagiri,Ariyalur,Non-AC,12:36
72B,Tiruppur,Chennai,Private,09:40
21C,Karur,Krishnagiri,AC,13:40
35B,Nagapattinam,Coimbatore,AC,10:29
16A,Coimbatore,Chennai,Non-AC,21:17
32C,Nagercoil,Chennai,Express,21:06
84A,Tiruvallur,Hosur,Government,04:34
83C,Krishnagiri,Cuddalore,AC,19:09
62A,Sivakasi,Tiruvannamalai,Private,22:59
7C,Thanjavur,Tiruvannamalai,Government,23:46
3D,Nagapattinam,Pudukkottai,Express,08:57
29C,Pudukkottai,Dharmapuri,Non-AC,19:07
37D,Tiruvallur,Nagercoil,AC,22:21
31C,Erode,Tirunelveli,AC,12:34
20B,Coimbatore,Tiruvannamalai,Private,10:11
86A,Erode,Perambalur,Government,13:33
31B,Erode,Dindigul,Express,04:21
71A,Nagapattinam,Nagercoil,Express,07:29
90A,Salem,Namakkal,Government,10:11
16B,Nagercoil,Salem,Non-AC,21:17
67C,Dharmapuri,Vellore,Government,19:32
84B,Pudukkottai,Krishnagiri,Express,03:14
99A,Cuddalore,Madurai,Government,18:38
13C,Dharmapuri,Perambalur,Non-AC,09:48
12D,Tiruvannamalai,Madurai,AC,21:47
35A,Dindigul,Thoothukudi,Private,04:55
3A,Tirunelveli,Virudhunagar,Private,01:27
19A,Dharmapuri,Ariyalur,Express,09:48
18B,Tiruchirappalli,Dindigul,Private,08:05
78A,Chennai,Perambalur,Non-AC,13:38
74A,Thoothukudi,Salem,Express,06:00
22D,Tiruchirappalli,Hosur,AC,09:32
85B,Erode,Tiruvannamalai,Non-AC,16:37
26B,Chennai,Madurai,Express,18:06
75D,Karur,Chennai,Non-AC,14:41
41C,Nagercoil,Tiruvannamalai,AC,23:51
53A,Cuddalore,Salem,Non-AC,14:27
10C,Tiruchirappalli,Dindigul,Government,13:31
87D,Vellore,Thoothukudi,Express,15:20
37D,Tiruvannamalai,Vellore,Express,17:15
87A,Tiruvannamalai,Perambalur,Non-AC,05:39
36D,Tiruchirappalli,Ramanathapuram,Non-AC,04:01
8D,Coimbatore,Ramanathapuram,Express,20:56
70C,Salem,Perambalur,AC,19:15
70D,Erode,Thanjavur,Non-AC,06:10
60A,Hosur,Thoothukudi,Private,02:37
33D,Tiruppur,Tirunelveli,Non-AC,14:48
41B,Namakkal,Sivakasi,Express,13:55
25C,Dharmapuri,Nagercoil,Express,12:09
14C,Coimbatore,Thoothukudi,Non-AC,18:07
59B,Thanjavur,Vellore,Express,09:48
12B,Tiruchirappalli,Tiruvallur,AC,15:31
15D,Salem,Dindigul,Government,06:51
44A,Hosur,Thoothukudi,AC,23:09
88A,Dindigul,Karur,Express,08:31
46D,Cuddalore,Virudhunagar,Government,07:25
8C,Coimbatore,Vellore,Government,09:35
17A,Erode,Dharmapuri,Express,03:01
48D,Salem,Cuddalore,Private,14:03
85A,Ariyalur,Nagercoil,Express,23:33
40B,Erode,Chennai,Non-AC,02:37
43A,Salem,Tiruvallur,Non-AC,06:35
6B,Salem,Tirunelveli,AC,06:18
51C,Salem,Erode,Non-AC,15:21
79B,Tiruppur,Erode,Government,08:29
95A,Sivakasi,Tiruppur,Government,12:36
3D,Tiruvannamalai,Cuddalore,Government,23:48
76C,Thanjavur,Tiruppur,AC,16:00
99B,Thoothukudi,Dharmapuri,Non-AC,14:48
85A,Cuddalore,Nagercoil,Government,16:03
63B,Krishnagiri,Thoothukudi,Non-AC,10:07
91B,Cuddalore,Madurai,Government,16:56
19B,Salem,Tiruppur,Express,00:13
56C,Perambalur,Hosur,Express,09:13
84D,Kanchipuram,Ramanathapuram,AC,06:52
41C,Vellore,Cuddalore,Government,20:40
70B,Cuddalore,Hosur,AC,06:16
89A,Karur,Chennai,Government,20:14
76B,Thanjavur,Karur,Non-AC,11:18
28C,Erode,Thanjavur,Government,04:03
8B,Dharmapuri,Tiruchirappalli,Non-AC,09:03
61D,Perambalur,Namakkal,Private,09:23
45C,Tirunelveli,Tiruppur,AC,20:20
71C,Cuddalore,Namakkal,Private,02:04
52A,Thoothukudi,Perambalur,Government,07:53
14A,Sivakasi,Salem,Non-AC,18:38
39C,Coimbatore,Tiruvallur,Express,09:11
20D,Kanchipuram,Cuddalore,AC,17:47
19B,Perambalur,Kanchipuram,Private,05:10
7D,Karur,Vellore,Express,18:58
84B,Chennai,Pudukkottai,AC,07:32
40A,Dindigul,Erode,Government,00:58
27A,Tirunelveli,Thanjavur,Express,09:17
76B,Cuddalore,Perambalur,Government,15:15
44D,Hosur,Virudhunagar,Government,04:52
82B,Krishnagiri,Vellore,AC,23:29
68B,Chennai,Tiruvallur,AC,13:04
82A,Cuddalore,Thoothukudi,Private,05:28
28A,Sivakasi,Virudhunagar,Government,05:22
92B,Tiruvallur,Karur,Private,06:05
69D,Salem,Madurai,AC,02:15
94A,Salem,Dindigul,AC,01:36
20C,Virudhunagar,Coimbatore,Express,12:20
65C,Ariyalur,Chennai,Government,18:03
60B,Tiruvallur,Salem,AC,08:12
8C,Karur,Thanjavur,Private,06:56
61D,Namakkal,Pudukkottai,Private,22:52
67D,Karur,Erode,Non-AC,14:57
74B,Cuddalore,Dharmapuri,Non-AC,02:18
89B,Tirunelveli,Tiruvannamalai,Government,22:08
57A,Tiruvallur,Hosur,AC,00:53
71A,Namakkal,Hosur,Express,05:59
48C,Kanchipuram,Dharmapuri,Non-AC,04:38
67A,Virudhunagar,Karur,Private,23:46
86B,Madurai,Krishnagiri,Express,10:34
66D,Thoothukudi,Nagapattinam,Non-AC,20:33
40C,Nagapattinam,Hosur,Non-AC,06:12
19B,Cuddalore,Dharmapuri,Express,02:03
20C,Coimbatore,Thoothukudi,Private,18:28
27B,Dindigul,Nagapattinam,Non-AC,09:28
59C,Erode,Madurai,Government,02:30
25A,Ariyalur,Tirunelveli,AC,01:15
40C,Ramanathapuram,Dharmapuri,Private,19:43
9C,Cuddalore,Dharmapuri,Non-AC,12:04
59B,Tiruppur,Kanchipuram,Private,01:52
6C,Tirunelveli,Karur,Private,19:44
33B,Tiruvallur,Tiruchirappalli,Private,20:26
62A,Kanchipuram,Chennai,Express,06:41
40B,Madurai,Thoothukudi,Government,00:07
54B,Coimbatore,Sivakasi,Express,18:38
73C,Karur,Dindigul,Non-AC,03:02
67B,Madurai,Tiruvallur,AC,17:59
42C,Chennai,Vellore,AC,09:21
60C,Thoothukudi,Chennai,Express,16:49
64A,Tiruppur,Sivakasi,Government,02:18
66D,Virudhunagar,Perambalur,Non-AC,12:12
80C,Ramanathapuram,Sivakasi,AC,21:10
70B,Tiruvannamalai,Tiruppur,Non-AC,08:15
34C,Thoothukudi,Dharmapuri,Non-AC,00:19
75A,Sivakasi,Madurai,Private,22:01
54A,Dharmapuri,Virudhunagar,Private,01:45
87B,Thanjavur,Dindigul,Government,21:15
54C,Sivakasi,Virudhunagar,Government,03:08
68D,Perambalur,Tirunelveli,AC,17:43
67A,Chennai,Pudukkottai,Private,14:06
89A,Erode,Krishnagiri,Private,15:45
49A,Tiruppur,Erode,Private,20:33
11D,Tiruvannamalai,Ariyalur,Express,15:13
81A,Madurai,Tiruvannamalai,Private,19:47
70C,Coimbatore,Perambalur,Government,21:45
2B,Dindigul,Thanjavur,Express,02:41
14C,Salem,Sivakasi,Non-AC,09:47
74D,Kanchipuram,Pudukkottai,Government,19:54
2B,Dindigul,Ariyalur,AC,08:09
1A,Ariyalur,Thanjavur,Private,06:13
32D,Dharmapuri,Nagapattinam,AC,17:57
81D,Nagapattinam,Dindigul,AC,14:09
93A,Karur,Tiruvannamalai,Express,14:13
3C,Nagercoil,Tiruvallur,Express,15:44
15C,Hosur,Namakkal,Government,20:52
29C,Coimbatore,Salem,Private,20:42
70A,Virudhunagar,Kanchipuram,Private,22:51
38A,Dharmapuri,Madurai,Express,23:50
53D,Krishnagiri,Kanchipuram,Express,22:57
12D,Hosur,Tiruchirappalli,Express,20:11
21A,Krishnagiri,Tiruppur,Non-AC,04:26
20D,Virudhunagar,Nagapattinam,Express,21:06
72C,Sivakasi,Nagercoil,Express,19:53
17C,Dindigul,Pudukkottai,AC,01:56
42D,Coimbatore,Dindigul,Government,12:58
23A,Ramanathapuram,Nagercoil,AC,02:30
10C,Tiruvannamalai,Erode,Express,04:34
95A,Nagercoil,Namakkal,AC,00:31
49D,Madurai,Krishnagiri,Non-AC,03:05
99B,Salem,Tiruchirappalli,Private,14:56
35B,Tiruvallur,Coimbatore,Non-AC,10:16
91C,Dindigul,Vellore,AC,20:05
41D,Vellore,Karur,Government,15:13
72C,Chennai,Tiruvallur,AC,12:00
54B,Sivakasi,Dharmapuri,Non-AC,05:48
15C,Virudhunagar,Erode,AC,20:49
45D,Cuddalore,Karur,Private,18:54
21B,Sivakasi,Nagapattinam,Private,03:34
93D,Erode,Tirunelveli,AC,08:57
42D,Dharmapuri,Erode,Private,13:44
87D,Virudhunagar,Tiruvallur,AC,22:57
12A,Thoothukudi,Tirunelveli,AC,08:11
70A,Tiruppur,Tiruchirappalli,Non-AC,22:45
9A,Coimbatore,Pudukkottai,Express,12:19
9D,Tiruvannamalai,Hosur,Express,13:26
50D,Madurai,Tiruvallur,Private,21:16
82C,Pudukkottai,Dindigul,Non-AC,03:44
58A,Tirunelveli,Erode,Government,21:07
77C,Namakkal,Vellore,Express,01:42
7D,Cuddalore,Virudhunagar,AC,21:56
60D,Tiruvallur,Ariyalur,AC,14:43
61A,Dindigul,Namakkal,AC,00:32
4D,Tiruppur,Tirunelveli,Government,17:57
77C,Nagapattinam,Madurai,Government,04:56
10A,Cuddalore,Ramanathapuram,Private,08:54
79A,Tirunelveli,Cuddalore,Private,03:22
9D,Virudhunagar,Vellore,Express,12:45
45D,Virudhunagar,Nagapattinam,Non-AC,20:00
53B,Dindigul,Thanjavur,Private,14:09
14B,Nagapattinam,Thoothukudi,AC,13:25
24D,Dharmapuri,Cuddalore,Express,15:56
63A,Hosur,Dharmapuri,Government,05:46
75B,Nagapattinam,Namakkal,AC,18:18
15C,Perambalur,Cuddalore,Non-AC,12:40
71C,Tiruchirappalli,Dharmapuri,Express,03:19
44A,Madurai,Coimbatore,Government,21:04
63A,Vellore,Thanjavur,Government,14:26
6C,Sivakasi,Karur,Express,07:25
93B,Perambalur,Tiruvallur,Express,01:33
59C,Perambalur,Sivakasi,Express,08:50
28D,Karur,Pudukkottai,Private,20:28
52B,Ramanathapuram,Namakkal,Government,11:33
69C,Krishnagiri,Tiruvallur,Private,03:15
86D,Pudukkottai,Dharmapuri,AC,19:40
2C,Dharmapuri,Ariyalur,Non-AC,08:33
91D,Sivakasi,Dindigul,AC,04:54
22C,Tiruppur,Krishnagiri,Non-AC,12:58
49A,Tiruvannamalai,Nagapattinam,AC,04:30
14D,Namakkal,Perambalur,Government,15:31
20D,Tiruvallur,Karur,Private,00:59
48B,Krishnagiri,Nagercoil,Government,02:41
8D,Nagapattinam,Pudukkottai,Government,02:18
9D,Thanjavur,Salem,Private,04:24
91B,Hosur,Chennai,Private,09:08
75B,Namakkal,Pudukkottai,Private,21:32
76B,Cuddalore,Tiruvannamalai,AC,14:25
40A,Nagercoil,Kanchipuram,Government,08:33
34C,Thanjavur,Coimbatore,Express,05:56
19C,Krishnagiri,Dharmapuri,Express,19:03
32A,Madurai,Cuddalore,AC,09:11
4A,Salem,Nagapattinam,AC,13:42
94D,Dharmapuri,Tirunelveli,Private,14:23
77D,Coimbatore,Tirunelveli,Express,07:01
41A,Madurai,Hosur,Express,11:26
89D,Tirunelveli,Erode,Government,03:12
57B,Thanjavur,Salem,Government,03:17
91A,Pudukkottai,Namakkal,AC,15:49
7B,Erode,Krishnagiri,Express,20:10
96C,Nagapattinam,Thoothukudi,AC,08:21
41D,Chennai,Tiruppur,Non-AC,09:40
21A,Cuddalore,Coimbatore,Non-AC,04:22
29A,Thoothukudi,Salem,Express,10:10
28C,Namakkal,Nagapattinam,Non-AC,11:07
35C,Tiruvannamalai,Dharmapuri,Government,18:44
55B,Tiruchirappalli,Erode,AC,06:32
9A,Nagercoil,Erode,AC,17:53
37C,Nagercoil,Dharmapuri,Non-AC,04:46
94C,Tiruvallur,Madurai,Government,19:04
54A,Tiruppur,Nagapattinam,Government,17:07
96A,Nagercoil,Erode,AC,02:19
79C,Thanjavur,Tiruppur,Private,22:23
45B,Erode,Tiruchirappalli,Government,23:05
46D,Thanjavur,Chennai,Non-AC,07:36
51A,Coimbatore,Ariyalur,Private,10:28
55B,Salem,Coimbatore,Non-AC,03:14
93C,Dharmapuri,Virudhunagar,Non-AC,07:43
89C,Madurai,Dindigul,Non-AC,16:14
33D,Perambalur,Pudukkottai,Express,06:18
7D,Thoothukudi,Perambalur,Government,08:11
22B,Karur,Erode,Express,23:10
85D,Virudhunagar,Erode,Non-AC,04:36
37C,Madurai,Tirunelveli,Government,16:12
83A,Namakkal,Madurai,Non-AC,00:49
53C,Karur,Sivakasi,Private,12:40
53A,Ariyalur,Namakkal,Private,11:15
5A,Sivakasi,Thoothukudi,Private,17:28
48B,Coimbatore,Salem,Government,22:21
99C,Perambalur,Erode,Express,20:03
40C,Coimbatore,Chennai,AC,23:16
52D,Madurai,Tiruppur,Government,20:41
38D,Tirunelveli,Hosur,Express,15:37
18B,Karur,Chennai,Express,11:17
54C,Tiruppur,Madurai,Private,13:24
24B,Dindigul,Perambalur,Private,23:50
87A,Vellore,Nagercoil,Government,20:30
96A,Dharmapuri,Thanjavur,Express,16:36
80A,Kanchipuram,Karur,Government,05:24
85B,Nagercoil,Nagapattinam,Government,20:58
96A,Namakkal,Virudhunagar,Express,00:10
89B,Vellore,Erode,Private,09:41
22B,Kanchipuram,Coimbatore,Government,18:27
62A,Namakkal,Dindigul,Government,20:34
78C,Salem,Hosur,Private,20:27
37D,Tiruvallur,Cuddalore,Private,16:10
9D,Ramanathapuram,Tirunelveli,Private,11:07
88A,Sivakasi,Tiruppur,AC,10:50
38C,Ramanathapuram,Dharmapuri,AC,18:37
95B,Dindigul,Virudhunagar,Government,01:59
56A,Tiruvallur,Dindigul,Private,21:27
89A,Dindigul,Tiruvannamalai,Government,20:09
48C,Krishnagiri,Virudhunagar,AC,15:38
68D,Sivakasi,Thoothukudi,Express,03:34
65B,Ramanathapuram,Dharmapuri,Private,18:02
24B,Pudukkottai,Tiruchirappalli,Non-AC,09:09
6B,Nagercoil,Coimbatore,Private,06:18
4C,Virudhunagar,Tiruvallur,Express,03:28
93C,Nagapattinam,Krishnagiri,Express,01:09
17A,Vellore,Coimbatore,Government,16:07
61D,Thanjavur,Tiruchirappalli,AC,07:37
8B,Karur,Nagercoil,Private,12:42
58B,Salem,Tiruvannamalai,Non-AC,01:45
14C,Nagercoil,Dharmapuri,AC,21:59
79D,Pudukkottai,Salem,Private,17:36
51B,Kanchipuram,Dindigul,Non-AC,07:31
12C,Coimbatore,Namakkal,Government,19:52
24A,Perambalur,Pudukkottai,Private,20:49
87B,Thanjavur,Dindigul,Non-AC,09:07
59B,Krishnagiri,Dharmapuri,Express,00:01
30B,Coimbatore,Chennai,Express,08:33
49D,Thanjavur,Karur,Government,00:41
89C,Chennai,Ramanathapuram,Non-AC,05:21
7A,Thanjavur,Namakkal,Express,23:50
70D,Cuddalore,Virudhunagar,AC,22:53
50C,Sivakasi,Cuddalore,AC,02:45
15B,Dindigul,Hosur,Non-AC,10:10
15B,Namakkal,Tiruvallur,AC,16:23
24B,Perambalur,Virudhunagar,AC,02:29
29D,Nagapattinam,Dharmapuri,Non-AC,22:20
92B,Madurai,Perambalur,Private,13:58
66C,Thoothukudi,Pudukkottai,Non-AC,15:51
98C,Tiruvannamalai,Dharmapuri,AC,20:37
12A,Ariyalur,Kanchipuram,Government,04:22
8A,Dindigul,Kanchipuram,AC,15:46
38C,Erode,Thoothukudi,Express,13:43
18D,Hosur,Dharmapuri,Private,03:54
58B,Tiruvallur,Tiruppur,Private,04:46
1C,Ramanathapuram,Tiruvallur,Private,11:14
46D,Cuddalore,Coimbatore,Government,21:15
48A,Thanjavur,Dharmapuri,AC,17:47
38D,Ramanathapuram,Tiruppur,Non-AC,02:39
57D,Krishnagiri,Tiruvannamalai,Private,21:48
12A,Tiruchirappalli,Tiruppur,Government,02:12
46C,Erode,Pudukkottai,AC,01:05
33C,Madurai,Dharmapuri,AC,05:03
3B,Erode,Namakkal,Express,04:07
90C,Tirunelveli,Cuddalore,Government,03:29
28D,Tirunelveli,Krishnagiri,Express,11:05
